citation,query,title,url
 193,technical indicators predict stock price,Stock market trading  rule based on pattern recognition and  technical analysis :  Forecasting  the DJIA index with intraday data,https://www.sciencedirect.com/science/article/pii/S0957417415002110
 238,technical indicators predict stock price,A systematic review of fundamental and  technical analysis  of  stock market predictions,https://link.springer.com/article/10.1007/s10462-019-09754-z
 70,technical indicators predict stock price,Forecasting stock market  returns: New  technical indicators  and two-step economic constraint method,https://www.sciencedirect.com/science/article/pii/S1062940820301133
 60,technical indicators predict stock price,Stock market forecasting  using deep learning and  technical analysis : a systematic review,https://ieeexplore.ieee.org/abstract/document/9220868/
 188,technical indicators predict stock price,Combining news and  technical indicators  in daily  stock price  trends  prediction,https://link.springer.com/chapter/10.1007/978-3-540-72395-0_132
 39,technical indicators predict stock price,[PDF] [PDF]   Evaluating the employment of  technical indicators  in  predicting stock price  index variations using artificial neural networks (case study: Tehran  Stock  Exchange),https://pdfs.semanticscholar.org/fe92/f332f8a3494540293525b5f01f329b12856c.pdf
 76,technical indicators predict stock price,Improving  stock  closing  price prediction  using recurrent neural network and  technical indicators,https://direct.mit.edu/neco/article-abstract/30/10/2833/8415
 114,technical indicators predict stock price,[PDF] [PDF]   State-of-the-art in  stock prediction  techniques,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8bbc6b03515a9f7de2464897f0bc10a7cd0b8347
 263,technical indicators predict stock price,[PDF] [PDF]   Using neural networks to  forecast stock market prices,https://cmps-people.ok.ubc.ca/rlawrenc/research/Papers/nn.pdf
 43,technical indicators predict stock price,[PDF] [PDF]   Predicting stock prices  using  technical analysis  and machine learning,https://www.academia.edu/download/50426774/fulltext01.pdf
citation,query,title,url
114,price based indicators stock prediciton,[PDF] [PDF]   State-of-the-art in  stock prediction  techniques,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8bbc6b03515a9f7de2464897f0bc10a7cd0b8347
92,price based indicators stock prediciton,[HTML] [HTML]   A graph- based  CNN-LSTM  stock price prediction  algorithm with leading  indicators,https://link.springer.com/article/10.1007/s00530-021-00758-w
22,price based indicators stock prediciton,[PDF] [PDF]   Stock prediction based  on technical  indicators  using deep learning model,https://www.academia.edu/download/71652189/pdf.pdf
115,price based indicators stock prediciton,Evaluating and understanding text- based stock price prediction  models,https://www.sciencedirect.com/science/article/pii/S0306457313001143
31,price based indicators stock prediciton,A graph‐ based  convolutional neural network  stock price prediction  with leading  indicators,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.2915
94,price based indicators stock prediciton,[PDF] [PDF]   Machine learning techniques for  stock prediction,http://ganj-ie.iust.ac.ir:8081/images/6/62/MachineLearningTechniquesforStockPrediction.pdf
188,price based indicators stock prediciton,Combining news and technical  indicators  in daily  stock price  trends  prediction,https://link.springer.com/chapter/10.1007/978-3-540-72395-0_132
63,price based indicators stock prediciton,[PDF] [PDF]   Stock price prediction  using technical  indicators : a predictive model using optimal deep learning,https://www.researchgate.net/profile/Piyush-Shukla/publication/337800376_Stock_Indices_Price_Prediction_Based_on_Technical_Indicators_using_Deep_Learning_Model/links/5dea8d904585159aa46888fa/Stock-Indices-Price-Prediction-Based-on-Technical-Indicators-using-Deep-Learning-Model.pdf
7,price based indicators stock prediciton,A hybrid  stock price prediction  model  based  on pre and deep neural network,https://www.mdpi.com/1595148
148,price based indicators stock prediciton,A survey of forex and  stock price prediction  using deep learning,https://www.mdpi.com/983750
68,price and volume data for stock market,Stock price  and  volume  relation in emerging  markets,https://www.tandfonline.com/doi/abs/10.1080/1540496X.2005.11052599
130,price and volume data for stock market,Large  stock price  changes:  volume  or liquidity?,https://www.tandfonline.com/doi/abs/10.1080/14697680500168008
1611,price and volume data for stock market,Price  and  volume  effects associated with changes in the S&P 500 list: New evidence for the existence of  price  pressures,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.1986.tb04550.x
292,price and volume data for stock market,An empirical analysis of the  stock price - volume  relationship,https://www.sciencedirect.com/science/article/pii/0378426688900489
2226,price and volume data for stock market,The  price  variability- volume  relationship on speculative  markets,https://www.jstor.org/stable/1912002
244,price and volume data for stock market,The  stock price – volume  relationship in emerging  stock markets : the case of Latin America,https://www.sciencedirect.com/science/article/pii/S0169207098000284
2034,price and volume data for stock market,Stock  prices and  volume,https://academic.oup.com/rfs/article-abstract/5/2/199/1592094
140,price and volume data for stock market,Price  and  volume  effects of changes in MSCI indices–nature and causes,https://www.sciencedirect.com/science/article/pii/S0378426604000901
3634,price and volume data for stock market,The relation between  price  changes and  trading volume : A survey,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/relation-inter-price-changes-and-trading-volume-a-survey/DBE2C70FA41E390EB8FA418BBFFD76C8
620,price and volume data for stock market,A LSTM-based method for  stock  returns prediction: A case study of China  stock market,https://ieeexplore.ieee.org/abstract/document/7364089/
193,technical indicators predict stock price,Stock market trading  rule based on pattern recognition and  technical analysis :  Forecasting  the DJIA index with intraday data,https://www.sciencedirect.com/science/article/pii/S0957417415002110
238,technical indicators predict stock price,A systematic review of fundamental and  technical analysis  of  stock market predictions,https://link.springer.com/article/10.1007/s10462-019-09754-z
70,technical indicators predict stock price,Forecasting stock market  returns: New  technical indicators  and two-step economic constraint method,https://www.sciencedirect.com/science/article/pii/S1062940820301133
60,technical indicators predict stock price,Stock market forecasting  using deep learning and  technical analysis : a systematic review,https://ieeexplore.ieee.org/abstract/document/9220868/
188,technical indicators predict stock price,Combining news and  technical indicators  in daily  stock price  trends  prediction,https://link.springer.com/chapter/10.1007/978-3-540-72395-0_132
39,technical indicators predict stock price,[PDF] [PDF]   Evaluating the employment of  technical indicators  in  predicting stock price  index variations using artificial neural networks (case study: Tehran  Stock  Exchange),https://pdfs.semanticscholar.org/fe92/f332f8a3494540293525b5f01f329b12856c.pdf
76,technical indicators predict stock price,Improving  stock  closing  price prediction  using recurrent neural network and  technical indicators,https://direct.mit.edu/neco/article-abstract/30/10/2833/8415
114,technical indicators predict stock price,[PDF] [PDF]   State-of-the-art in  stock prediction  techniques,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8bbc6b03515a9f7de2464897f0bc10a7cd0b8347
263,technical indicators predict stock price,[PDF] [PDF]   Using neural networks to  forecast stock market prices,https://cmps-people.ok.ubc.ca/rlawrenc/research/Papers/nn.pdf
43,technical indicators predict stock price,[PDF] [PDF]   Predicting stock prices  using  technical analysis  and machine learning,https://www.academia.edu/download/50426774/fulltext01.pdf
110,momentum features for stock return factors,Factor momentum  everywhere,https://jpm.pm-research.com/content/45/3/13.short
62,momentum features for stock return factors,Momentum  strategies for Islamic  stocks,https://www.sciencedirect.com/science/article/pii/S0927538X16300762
1286,momentum features for stock return factors,"Can book-to- market , size and  momentum  be risk  factors  that predict economic growth?",https://www.sciencedirect.com/science/article/pii/S0304405X00000568
153,momentum features for stock return factors,Momentum  in Australian  stock  returns,https://journals.sagepub.com/doi/pdf/10.1177/031289620302800202
112,momentum features for stock return factors,"Fundamentally,  momentum  is fundamental  momentum",https://www.nber.org/papers/w20984
63,momentum features for stock return factors,Understanding  momentum  and reversal,https://www.sciencedirect.com/science/article/pii/S0304405X21000878
407,momentum features for stock return factors,"Size, value, and  momentum  in emerging  market stock  returns",https://www.sciencedirect.com/science/article/pii/S1566014113000198
1,momentum features for stock return factors,Fundamental  momentum  and enhanced fundamental  momentum : Evidence from the Chinese  stock market,https://www.sciencedirect.com/science/article/pii/S1059056022000326
56,momentum features for stock return factors,Momentum  investing: A survey,https://link.springer.com/article/10.1057/palgrave.jam.2240133
581,momentum features for stock return factors,Is  momentum  really  momentum ?,https://www.sciencedirect.com/science/article/pii/S0304405X11001152
1724,geometric shapes technical indicators stock market,"Foundations of  technical analysis : Computational algorithms, statistical inference, and empirical implementation",https://onlinelibrary.wiley.com/doi/abs/10.1111/0022-1082.00265
91,geometric shapes technical indicators stock market,"Fuzzy logic,  trading  uncertainty and  technical trading",https://www.sciencedirect.com/science/article/pii/S0378426612002889
5,geometric shapes technical indicators stock market,Understanding  technical analysis : A conceptual framework,https://www.indianjournals.com/ijor.aspx?target=ijor:ijarmss&volume=4&issue=4&article=021
4,geometric shapes technical indicators stock market,The effectiveness of the automatic system of fuzzy logic-based  technical patterns  recognition: Evidence from Tehran  stock exchange,https://amfa.arak.iau.ir/article_666547.html
556,geometric shapes technical indicators stock market,[BOOK] [B]   Technical analysis : the complete resource for financial  market  technicians,https://books.google.com/books?hl=en&lr=&id=I5SgX5q5sQEC&oi=fnd&pg=PR9&dq=geometric+shapes+technical+indicators+stock+market&ots=knpYCCVG8A&sig=w-rQvBYOiwVbbwPY2o1Ep5qe90I
1,geometric shapes technical indicators stock market,[PDF] [PDF]   The Implementation of Nature Laws in the  Mathematical  Models for Successful Prediction in the  Technical Analysis,http://www.sciencehorizon.ru/wp-content/uploads/2017/08/Nauchnyie_gorizontyi_---2_18_20191.pdf#page=88
864,geometric shapes technical indicators stock market,What do we know about the profitability of  technical analysis ?,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-6419.2007.00519.x
11,geometric shapes technical indicators stock market,"Chaos and order in the  capital markets : A new view of cycles, prices, and  market  volatility",https://www.jstor.org/stable/2329084
,geometric shapes technical indicators stock market,[PDF] [PDF]   A Review of the Behaviors of  Technical Analysis  Based on Selected  Shares  of Dhaka  Stock Exchange  (DSE),https://www.researchgate.net/profile/Shapan-Majumder/publication/345778983_Impact_of_Environmental_Quality_on_Healthcare_Expenditures_in_Bangladesh/links/5fadb03792851cf7dd194981/Impact-of-Environmental-Quality-on-Healthcare-Expenditures-in-Bangladesh.pdf#page=137
2233,geometric shapes technical indicators stock market,"[BOOK] [B]   Chaos and order in the  capital markets : a new view of cycles, prices, and  market  volatility",https://books.google.com/books?hl=en&lr=&id=Qi0meDlDrgQC&oi=fnd&pg=PA1&dq=geometric+shapes+technical+indicators+stock+market&ots=lcIdYeKBv4&sig=EYBlfgpsRvMQzOAKfKXq3GB5fXs
citation,query,title,url
